Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,24-11-2023,CUST001,Male,34,Beauty,3,50,150
2,27-02-2023,CUST002,Female,26,Clothing,2,500,1000
3,13-01-2023,CUST003,Male,50,Electronics,1,30,30
4,21-05-2023,CUST004,Male,37,Clothing,1,500,500
5,05-06-2023,CUST005,Male,30,Beauty,2,50,100
6,25-04-2023,CUST006,Female,45,Beauty,1,30,30
7,13-03-2023,CUST007,Male,46,Clothing,2,25,50
8,22-02-2023,CUST008,Male,30,Electronics,4,25,100
9,13-12-2023,CUST009,Male,63,Electronics,2,300,600
10,10-07-2023,CUST010,Female,52,Clothing,4,50,200
11,14-02-2023,CUST011,Male,23,Clothing,2,50,100
12,30-10-2023,CUST012,Male,35,Beauty,3,25,75
13,08-05-2023,CUST013,Male,22,Electronics,3,500,1500
14,17-01-2023,CUST014,Male,64,Clothing,4,30,120
15,16-01-2023,CUST015,Female,42,Electronics,4,500,2000
16,17-02-2023,CUST016,Male,19,Clothing,3,500,1500
17,22-04-2023,CUST017,Female,27,Clothing,4,25,100
18,30-04-2023,CUST018,Female,47,Electronics,2,25,50
19,16-09-2023,CUST019,Female,62,Clothing,2,25,50
20,11-05-2023,CUST020,Male,22,Clothing,3,300,900
21,14-01-2023,CUST021,Female,50,Beauty,1,500,500
22,15-10-2023,CUST022,Male,18,Clothing,2,50,100
23,04-12-2023,CUST023,Female,35,Clothing,4,30,120
24,29-11-2023,CUST024,Female,49,Clothing,1,300,300
25,26-12-2023,CUST025,Female,64,Beauty,1,50,50
26,10-07-2023,CUST026,Female,28,Electronics,2,500,1000
27,08-03-2023,CUST027,Female,38,Beauty,2,25,50
28,23-04-2023,CUST028,Female,43,Beauty,1,500,500
29,18-08-2023,CUST029,Female,42,Electronics,1,30,30
30,29-10-2023,CUST030,Female,39,Beauty,3,300,900
31,23-05-2023,CUST031,Male,44,Electronics,4,300,1200
32,01-04-2023,CUST032,Male,30,Beauty,3,30,90
33,23-03-2023,CUST033,Female,50,Electronics,2,50,100
34,24-12-2023,CUST034,Female,51,Clothing,3,50,150
35,08-05-2023,CUST035,Female,58,Beauty,3,300,900
36,24-06-2023,CUST036,Male,52,Beauty,3,300,900
37,23-05-2023,CUST037,Female,18,Beauty,3,25,75
38,21-03-2023,CUST038,Male,38,Beauty,4,50,200
39,21-04-2023,CUST039,Male,23,Clothing,4,30,120
40,22-06-2023,CUST040,Male,45,Beauty,1,50,50
41,22-02-2023,CUST041,Male,34,Clothing,2,25,50
42,17-02-2023,CUST042,Male,22,Clothing,3,300,900
43,14-07-2023,CUST043,Female,48,Clothing,1,300,300
44,19-02-2023,CUST044,Female,22,Clothing,1,25,25
45,07-03-2023,CUST045,Female,55,Electronics,1,30,30
46,26-06-2023,CUST046,Female,20,Electronics,4,300,1200
47,11-06-2023,CUST047,Female,40,Beauty,3,500,1500
48,16-05-2023,CUST048,Male,54,Electronics,3,300,900
49,23-01-2023,CUST049,Female,54,Electronics,2,500,1000
50,24-08-2023,CUST050,Female,27,Beauty,3,25,75
51,10-02-2023,CUST051,Male,27,Beauty,3,25,75
52,03-05-2023,CUST052,Female,36,Beauty,1,300,300
53,13-07-2023,CUST053,Male,34,Electronics,2,50,100
54,02-10-2023,CUST054,Female,38,Electronics,3,500,1500
55,10-10-2023,CUST055,Male,31,Beauty,4,30,120
56,31-05-2023,CUST056,Female,26,Clothing,3,300,900
57,18-11-2023,CUST057,Female,63,Beauty,1,30,30
58,13-11-2023,CUST058,Male,18,Clothing,4,300,1200
59,07-05-2023,CUST059,Male,62,Clothing,1,50,50
60,23-10-2023,CUST060,Male,30,Beauty,3,50,150
61,04-09-2023,CUST061,Male,21,Beauty,4,50,200
62,27-12-2023,CUST062,Male,18,Beauty,2,50,100
63,02-05-2023,CUST063,Male,57,Electronics,2,25,50
64,24-01-2023,CUST064,Male,49,Clothing,4,25,100
65,12-05-2023,CUST065,Male,51,Electronics,4,500,2000
66,27-04-2023,CUST066,Female,45,Electronics,1,30,30
67,29-05-2023,CUST067,Female,48,Beauty,4,300,1200
68,02-10-2023,CUST068,Male,25,Electronics,1,300,300
69,30-04-2023,CUST069,Female,56,Beauty,3,25,75
70,21-02-2023,CUST070,Female,43,Clothing,1,300,300
71,14-07-2023,CUST071,Female,51,Beauty,4,25,100
72,23-05-2023,CUST072,Female,20,Electronics,4,500,2000
73,21-08-2023,CUST073,Male,29,Electronics,3,30,90
74,22-11-2023,CUST074,Female,18,Beauty,4,500,2000
75,07-06-2023,CUST075,Male,61,Beauty,4,50,200
76,25-03-2023,CUST076,Female,22,Electronics,2,50,100
77,07-09-2023,CUST077,Female,47,Clothing,2,50,100
78,07-01-2023,CUST078,Female,47,Clothing,3,500,1500
79,18-04-2023,CUST079,Male,34,Beauty,1,300,300
80,12-10-2023,CUST080,Female,64,Clothing,2,30,60
